Evidence_ID,Bronze,Domain,Level,Measurement / observation,Author interpretation / meaning,Hypothesis relevance,Direction hint (pre-TIF),Original_Dependency_Group,Evidence_Family,Revised_Dependency_Group,Dependency_Note,Source_ID,Location in source,Source URL,Public access,Evidence nature
E001,A,casting core,L1,Bulk core internally homogeneous petrographically and chemically.,Supports treating most A core samples as a coherent material population.,production provenance,neutral/structural,DG-A-core,FAM-CORE-1998,DG-S01-A-BULK,Same 1998 core campaign; A bulk-population result.,S01,pp. 1058–1062; bulk composition section,https://www.academia.edu/47691629/From_the_Shell_to_its_Content_the_Casting_Cores_of_the_Two_Bronze_Statues_from_Riace_Calabria_Italy_,Public full text,Primary experimental
E002,B,casting core,L1,Bulk core internally homogeneous petrographically and chemically.,Supports treating most B core samples as a coherent material population.,production provenance,neutral/structural,DG-B-core,FAM-CORE-1998,DG-S01-B-BULK,Same 1998 core campaign; B bulk-population result.,S01,pp. 1058–1062; bulk composition section,https://www.academia.edu/47691629/From_the_Shell_to_its_Content_the_Casting_Cores_of_the_Two_Bronze_Statues_from_Riace_Calabria_Italy_,Public full text,Primary experimental
E003,A vs B,casting core,L1,"A core is coarser-grained, less homogeneous, more porous, darker and more coherent than B.",Indicates technological/material differences between the two statues.,relation A/B,difference,DG-core-comparison,FAM-CORE-1998,DG-S01-CORE-COMP,Direct A/B comparison from the 1998 core dataset.,S01,"p. 1058, general features",https://www.academia.edu/47691629/From_the_Shell_to_its_Content_the_Casting_Cores_of_the_Two_Bronze_Statues_from_Riace_Calabria_Italy_,Public full text,Primary experimental
E004,B,casting technology,L1,Concentric slab structure is more regular in B and shows careful anatomical modelling.,Authors interpret B as technologically more carefully modelled.,manufacturing technique,supports higher technical care in B,DG-B-technology,FAM-CORE-1998,DG-S01-B-TECH,Technological observation from the same 1998 micro-excavation/core study.,S01,"p. 1058, general features",https://www.academia.edu/47691629/From_the_Shell_to_its_Content_the_Casting_Cores_of_the_Two_Bronze_Statues_from_Riace_Calabria_Italy_,Public full text,Primary experimental
E005,A and B,casting core,L0/L1,"Animal hair and, secondarily, vegetal fibres occur in both casting-core mixtures.",Organic inclusions are interpreted as functional additions to the slab mixture.,manufacturing technique / dating substrate,neutral/structural,DG-organics,FAM-CORE-1998,DG-S01-ORGANICS,Organic inclusions observed in the 1998 core study; later AMS uses related material.,S01,"pp. 1058–1059, porosity and organic inclusions",https://www.academia.edu/47691629/From_the_Shell_to_its_Content_the_Casting_Cores_of_the_Two_Bronze_Statues_from_Riace_Calabria_Italy_,Public full text,Primary experimental
E006,A vs B,casting core,L1,"Petrographic, chemical and palaeontological analyses show significant differences between the two core materials.",The two statues used materially distinct core mixtures.,relation A/B / provenance,difference,DG-core-comparison,FAM-CORE-1998,DG-S01-CORE-COMP,Same A/B comparison basis as E003.,S01,abstract; conclusions,https://www.academia.edu/47691629/From_the_Shell_to_its_Content_the_Casting_Cores_of_the_Two_Bronze_Statues_from_Riace_Calabria_Italy_,Public full text,Primary experimental
E007,B,palaeontology,L1,B core contains abundant Palaeocene nannofossils.,Source area for B should include a Palaeocene formation rich in such nannofossils.,production provenance,constraint,DG-B-provenance,FAM-CORE-1998,DG-S01-B-PALEO,B palaeontological constraint from 1998 core campaign.,S01,"p. 1061, palaeontological analysis",https://www.academia.edu/47691629/From_the_Shell_to_its_Content_the_Casting_Cores_of_the_Two_Bronze_Statues_from_Riace_Calabria_Italy_,Public full text,Primary experimental
E008,A,palaeontology,L1,"A core contains only limited nannofossils, not diagnostic of a precise unit; broad Cretaceous–Palaeogene attribution.",Provides weaker provenance constraint than B.,production provenance,indeterminate,DG-A-provenance,FAM-CORE-1998,DG-S01-A-PALEO,A palaeontological constraint from 1998 core campaign.,S01,"p. 1061, palaeontological analysis",https://www.academia.edu/47691629/From_the_Shell_to_its_Content_the_Casting_Cores_of_the_Two_Bronze_Statues_from_Riace_Calabria_Italy_,Public full text,Primary experimental
E009,A vs B,provenance,L2,"Authors infer the two core materials came from different micro-environments, probably within the same geological basin.",Supports regional relatedness without identity of exact source.,relation A/B / provenance,supports same broad basin,DG-core-comparison,FAM-CORE-1998,DG-S01-CORE-COMP,Interpretation derived from the same A/B core comparison.,S01,"p. 1065, conclusions",https://www.academia.edu/47691629/From_the_Shell_to_its_Content_the_Casting_Cores_of_the_Two_Bronze_Statues_from_Riace_Calabria_Italy_,Public full text,Author interpretation from primary data
E010,A and B,provenance,L2,Southern Italy is excluded by the authors after comparison with geological settings considered.,Contradicts a southern-Italian source for the principal casting cores within that comparative framework.,production provenance,contradicts southern Italy,DG-provenance-1998,FAM-CORE-1998,DG-S01-PROV,Provenance inference from 1998 comparative geology.,S01,"pp. 1064–1065, provenance discussion",https://www.academia.edu/47691629/From_the_Shell_to_its_Content_the_Casting_Cores_of_the_Two_Bronze_Statues_from_Riace_Calabria_Italy_,Public full text,Author interpretation; dependent on comparative database available in 1998
E011,B,provenance,L2,"Among areas considered in 1998, surroundings of Argos give the best geological match for B.","Supports Argos/Argolid as a candidate, not as a demonstrated origin.",production provenance,supports Argos candidate,DG-provenance-1998,FAM-CORE-1998,DG-S01-PROV,Candidate-source inference from the same 1998 comparative framework.,S01,"p. 1064, provenance discussion",https://www.academia.edu/47691629/From_the_Shell_to_its_Content_the_Casting_Cores_of_the_Two_Bronze_Statues_from_Riace_Calabria_Italy_,Public full text,Author interpretation
E012,A vs B,provenance,L2,"Despite differences, A is proposed to derive from a different micro-environment in the same geological basin as B.",Supports broad common-source-region hypothesis.,relation A/B,supports common broad region,DG-core-comparison,FAM-CORE-1998,DG-S01-CORE-COMP,Interpretation derived from the same A/B core comparison.,S01,"p. 1064, provenance discussion",https://www.academia.edu/47691629/From_the_Shell_to_its_Content_the_Casting_Cores_of_the_Two_Bronze_Statues_from_Riace_Calabria_Italy_,Public full text,Author interpretation
E013,A,radiocarbon,L0,"AMS campaign identifies charred wood, vegetal remains, animal hair and other organic residues in core material.","Provides direct datable material but dates the organic inclusion, not automatically the exact casting event.",chronology,measurement basis,DG-C14,FAM-C14-CEDAD,DG-C14-BASIS,Material basis for the AMS programme; linked to later 2010/2012 age combinations.,S02,pp. 1030–1032; Fig. 1 and Table 1,https://www.academia.edu/3821927/L_Calcagnile_M_DElia_G_Quarta_M_Vidale_Radiocarbon_dating_of_ancient_bronze_statues_Preliminary_results_from_the_Riace_statues,Downloadable public PDF,Primary experimental
E014,A,radiocarbon,L0,Nine samples were analysed in the preliminary 2010 AMS study.,Multiple samples permit internal consistency checks.,chronology,neutral/structural,DG-C14-2010,FAM-C14-CEDAD,DG-C14-A-2010,Preliminary A sample basis.,S02,Table 1,https://www.academia.edu/3821927/L_Calcagnile_M_DElia_G_Quarta_M_Vidale_Radiocarbon_dating_of_ancient_bronze_statues_Preliminary_results_from_the_Riace_statues,Downloadable public PDF,Primary experimental
E015,B,radiocarbon,L0,Eight samples were analysed in the preliminary 2010 AMS study.,All B dates were mutually consistent within statistical uncertainty.,chronology,supports coherent chronology,DG-C14-2010,FAM-C14-CEDAD,DG-C14-B-2010,Preliminary B sample basis and internal consistency.,S02,Table 1; Results,https://www.academia.edu/3821927/L_Calcagnile_M_DElia_G_Quarta_M_Vidale_Radiocarbon_dating_of_ancient_bronze_statues_Preliminary_results_from_the_Riace_statues,Downloadable public PDF,Primary experimental
E016,A,radiocarbon,L1,"Three A samples (LTL2526A, LTL2526B, LTL3345A) are much older than the main cluster.","Authors treat them as outliers, possibly due to old wood/material or archaeological-layer contamination.",chronology,introduces conflict/indeterminacy,DG-C14-outliers,FAM-C14-CEDAD,DG-C14-A-2010,Outliers from the same A dataset used in E017.,S02,p. 1032; Table 1 and Results,https://www.academia.edu/3821927/L_Calcagnile_M_DElia_G_Quarta_M_Vidale_Radiocarbon_dating_of_ancient_bronze_statues_Preliminary_results_from_the_Riace_statues,Downloadable public PDF,Primary data + interpretation
