Hypothesis_ID,Hypothesis,Tier,Domain,Status,Operational note
H01,Bronze A was cast/produced broadly within the 5th century BC.,Intermediate,chronology,ACTIVE,Broad chronology only; does not assert a fine stylistic date.
H02,Bronze B was cast/produced broadly within the 5th century BC.,Intermediate,chronology,ACTIVE,Broad chronology only; does not assert a fine stylistic date.
H03,A and B differ in production date by roughly the stylistically expected multi-decade interval.,Intermediate,relative chronology,ACTIVE,Current AMS resolution may be insufficient to test this directly.
H04,A and B were manufactured in the 1st century BC as neo-Attic products.,Intermediate,chronology,ACTIVE-NEGATIVE,Included as a falsifiable later-manufacture alternative.
H05,The principal casting-core materials of A and B are materially/compositionally distinct.,Intermediate,relation A/B,ACTIVE,Difference does not by itself imply different workshops.
H06,The principal casting-core materials of A and B derive from a broadly related geological region/basin.,Intermediate,relation A/B / provenance,ACTIVE,Allows different micro-environments within one broad region.
H07,Southern Italy is the source region of the principal casting cores.,Intermediate,provenance,LEGACY-AGGREGATE,Retained for continuity only. V7 replaces this A+B compound hypothesis with statue-specific Sibari/northern-Calabria hypotheses H22-H23.
H08,Argos/Argolid is the source region of the principal casting cores.,Intermediate,provenance,LEGACY-AGGREGATE,Retained for continuity only. V7 replaces this A+B compound hypothesis with statue-specific Argos/Argolid hypotheses H24-H25.
H09,Corinth area is the source region of the principal casting cores.,Intermediate,provenance,LEGACY-AGGREGATE,Retained for continuity only. V7 adds statue-specific Corinth hypotheses H29-H30.
H10,Athens/Attica is the source region of the principal casting cores.,Intermediate,provenance,LEGACY-AGGREGATE,Retained for continuity only. V7 adds statue-specific Attica hypotheses H31-H32.
H11,Megarid is a plausible source region for the principal casting cores.,Intermediate,provenance,LEGACY-AGGREGATE,Retained for continuity only. The current positive Megarid evidence is A-specific; V7 uses H28 for Statue A.
H12,Southern Greece is the most plausible broad source region for the principal casting cores.,Intermediate,provenance,LEGACY-AGGREGATE,Retained for continuity only. V7 replaces the compound broad-southern-Greece hypothesis with H26-H27 for A and B.
H13,Bronze B's right arm was subject to an ancient replacement/restoration/major modification.,Intermediate,restoration,ACTIVE,"Combines chemistry, core composition and multivariate separation."
H14,Welding/assembly material is compositionally distinct from the principal casting core.,Intermediate,assembly,ACTIVE,Can be evaluated separately for A and B.
H15,The copper-source signatures of A and B are different.,Intermediate,metal provenance,ACTIVE,"Based on isotopic compatibility fields, not workshop identity."
H16,Bronze B's welding metal reflects a distinct and possibly later welding episode.,Intermediate,restoration / assembly,ACTIVE,A different isotopic signal is not alone a precise date.
H17,The tenon lead of A and B shares a Greek-source isotopic signature.,Intermediate,installation,ACTIVE,Does not by itself prove the exact place/date of installation.
H18,Bronze A welding clay is geochemically compatible with CIANE/Pantanelli sediments from the Syracuse area.,Intermediate,assembly / geochemistry,ACTIVE,Compatibility is kept distinct from the stronger claim 'assembled at Syracuse'.
H19,Bronze B welding/restoration material is geochemically compatible with CIANE/Pantanelli sediments from the Syracuse area.,Intermediate,assembly / geochemistry,ACTIVE,Expected to retain substantial indeterminacy because direct geochemical data for the arm-restoration clays are unavailable.
H20,The bronzes experienced a multi-phase marine depositional/alteration history.,Intermediate,depositional history,ACTIVE,Interpretive hypothesis from patina/taphonomic evidence.
H21,A and B were produced in the same workshop or tightly integrated production complex.,Synthetic,relation A/B,ACTIVE-SYNTHETIC-v9,Broad synthetic hypothesis: same workshop OR tightly integrated production complex. Computed only from intermediate hypothesis states through a second-order IVN synthesis.
H22,Bronze A's principal casting-core material derives from the Sibari area / northern Calabria.,Intermediate,provenance A,ACTIVE-STATUE-SPECIFIC,Tests the 2026 Sibari alternative specifically for Statue A; 'cannot be ruled out' is not treated as proof.
H23,Bronze B's principal casting-core material derives from the Sibari area / northern Calabria.,Intermediate,provenance B,ACTIVE-STATUE-SPECIFIC,Tests the 2026 conclusion that B is very likely attributable to the Sibari area.
H24,Bronze A's principal casting-core material derives from Argos/Argolid.,Intermediate,provenance A,ACTIVE-STATUE-SPECIFIC,Separates A from the older B-centered Argos best-match claim and admits 2016 counterevidence.
H25,Bronze B's principal casting-core material derives from Argos/Argolid.,Intermediate,provenance B,ACTIVE-STATUE-SPECIFIC,Directly compares the 1998 B-Argos best match with later counterevidence and the 2026 Sibari claim.
H26,Bronze A's principal casting-core material derives broadly from southern Greece.,Intermediate,provenance A,ACTIVE-STATUE-SPECIFIC,Broad regional hypothesis; less specific than H24/H28-H31.
H27,Bronze B's principal casting-core material derives broadly from southern Greece.,Intermediate,provenance B,ACTIVE-STATUE-SPECIFIC,Broad regional hypothesis; explicitly allows conflict with the 2026 Sibari attribution.
H28,Bronze A's principal casting-core material plausibly derives from the Megarid.,Intermediate,provenance A,ACTIVE-STATUE-SPECIFIC,A-specific geological candidate based on ophiolitic fragments; comparator chemistry remains absent.
H29,Bronze A's principal casting-core material derives from the Corinth area.,Intermediate,provenance A,ACTIVE-STATUE-SPECIFIC-NEGATIVE,Jones et al. report few if any A chemical comparanda at Corinth.
H30,Bronze B's principal casting-core material derives from the Corinth area.,Intermediate,provenance B,ACTIVE-STATUE-SPECIFIC-NEGATIVE,"B has some calcareous comparability east of Acrocorinth, but the overall Corinth case is not strong."
H31,Bronze A's principal casting-core material derives from Athens/Attica.,Intermediate,provenance A,ACTIVE-STATUE-SPECIFIC,Core chemistry/petrography is compared separately from the incidental Attic sherd in A.
H32,Bronze B's principal casting-core material derives from Athens/Attica.,Intermediate,provenance B,ACTIVE-STATUE-SPECIFIC,Tests Attica against the B core evidence independently of A.
H33,A and B were produced in the same workshop in the strict sense.,Synthetic,relation A/B,ACTIVE-SYNTHETIC-COMPARATOR-v9,Stricter comparator to H21. It treats material/supply divergences as more diagnostic opposition than the broader integrated-production hypothesis.
